Day,Time,Room Number
Tu,02:00 PM-05:05 PM,UB100202
Tu,09:00 AM-01:10 PM,UB100204
Su,09:00 AM-01:10 PM,UB100401
Th,09:00 AM-01:10 PM,UB100401
Tu,02:00 PM-05:05 PM,UB100203
Tu,09:00 AM-01:10 PM,UB100401
Su,02:00 PM-05:05 PM,UB100204
Su,02:00 PM-05:05 PM,UB100401
Th,02:00 PM-04:00 PM,UB100202
Mo,02:00 PM-04:00 PM,UB100202
Mo,02:00 PM-02:55 PM,UB100402
We,02:00 PM-02:55 PM,UB100402
Mo,12:15 PM-01:10 PM,UB100501
We,12:15 PM-01:10 PM,UB100501
Mo,12:15 PM-01:10 PM,UB100402
We,12:15 PM-01:10 PM,UB100402
Mo,11:10 AM-12:05 PM,UB100402
We,11:10 AM-12:05 PM,UB100402
Su,02:00 PM-05:05 PM,UB100202
Su,09:00 AM-01:10 PM,UB100402
Th,09:00 AM-01:10 PM,UB100402
Tu,09:00 AM-01:10 PM,UB100402
Su,09:00 AM-01:10 PM,UB100501
Th,02:00 PM-05:05 PM,UB100202
Th,09:00 AM-01:10 PM,UB100501
Tu,09:00 AM-01:10 PM,UB100501
Su,09:00 AM-01:10 PM,UB100502
Th,02:00 PM-05:05 PM,UB100203
Th,09:00 AM-01:10 PM,UB100502
Tu,09:00 AM-01:10 PM,UB100502
Th,02:00 PM-05:05 PM,UB100401
Tu,02:00 PM-05:05 PM,UB100402
Mo,11:10 AM-12:05 PM,UB100401
We,11:10 AM-12:05 PM,UB100401
We,02:00 PM-04:00 PM,UB100202
Sa,02:00 PM-03:20 PM,UB10305
Th,02:00 PM-03:20 PM,UB10305
Sa,11:00 AM-12:20 PM,UB10305
Th,11:00 AM-12:20 PM,UB10305
Mo,03:30 PM-04:50 PM,UB10305
We,03:30 PM-04:50 PM,UB10305
Mo,03:30 PM-04:50 PM,UB10203
We,03:30 PM-04:50 PM,UB10203
Mo,08:00 AM-09:20 AM,UB10203
We,08:00 AM-09:20 AM,UB10203
Sa,08:00 AM-09:20 AM,UB10203
Th,08:00 AM-09:20 AM,UB10203
Sa,03:30 PM-04:50 PM,UB10204
Th,03:30 PM-04:50 PM,UB10204
Su,11:00 AM-12:20 PM,UB10102
Tu,11:00 AM-12:20 PM,UB10102
Su,08:00 AM-09:20 AM,UB10305
Tu,08:00 AM-09:20 AM,UB10305
Mo,08:00 AM-09:20 AM,UB10204
We,08:00 AM-09:20 AM,UB10204
Sa,12:30 PM-01:50 PM,UB10204
Th,12:30 PM-01:50 PM,UB10204
Mo,09:30 AM-10:50 AM,UB10102
We,09:30 AM-10:50 AM,UB10102
Mo,12:30 PM-01:50 PM,UB10102
We,12:30 PM-01:50 PM,UB10102
Su,02:00 PM-03:20 PM,UB10103
Tu,02:00 PM-03:20 PM,UB10103
Su,05:00 PM-06:20 PM,UB10305
Tu,05:00 PM-06:20 PM,UB10305
Sa,03:30 PM-04:50 PM,UB10103
Th,03:30 PM-04:50 PM,UB10103
Su,03:30 PM-04:50 PM,UB10305
Tu,03:30 PM-04:50 PM,UB10305
Su,08:00 AM-09:20 AM,UB10102
Tu,08:00 AM-09:20 AM,UB10102
Mo,09:30 AM-10:50 AM,UB10305
We,09:30 AM-10:50 AM,UB10305
Su,08:00 AM-09:20 AM,UB10103
Tu,08:00 AM-09:20 AM,UB10103
Sa,03:30 PM-04:50 PM,UB10305
Th,03:30 PM-04:50 PM,UB10305
Mo,05:00 PM-06:20 PM,UB10103
We,05:00 PM-06:20 PM,UB10103
Mo,11:00 AM-12:20 PM,UB10204
We,11:00 AM-12:20 PM,UB10204
Mo,11:00 AM-12:20 PM,UB10203
We,11:00 AM-12:20 PM,UB10203
Su,08:00 AM-09:20 AM,UB10203
Tu,08:00 AM-09:20 AM,UB10203
Mo,05:00 PM-06:20 PM,UB10204
We,05:00 PM-06:20 PM,UB10204
Su,11:00 AM-12:20 PM,UB10203
Tu,11:00 AM-12:20 PM,UB10203
Sa,09:30 AM-10:50 AM,UB10204
Th,09:30 AM-10:50 AM,UB10204
Mo,06:00 PM-09:00 PM,UB21511
We,06:00 PM-09:00 PM,UB21511
Su,06:00 PM-09:00 PM,UB21511
Th,06:00 PM-09:00 PM,UB21511
Tu,06:00 PM-09:00 PM,UB21511
Fr,06:00 PM-09:00 PM,UB21511
Su,03:30 PM-04:50 PM,UB10203
Tu,03:30 PM-04:50 PM,UB10203
Sa,09:30 AM-10:50 AM,UB10203
Th,09:30 AM-10:50 AM,UB10203
Mo,09:30 AM-10:50 AM,UB10203
We,09:30 AM-10:50 AM,UB10203
Sa,02:00 PM-03:20 PM,UB10204
Th,02:00 PM-03:20 PM,UB10204
Su,12:30 PM-01:50 PM,UB10204
Tu,12:30 PM-01:50 PM,UB10204
Mo,02:00 PM-03:20 PM,UB10203
We,02:00 PM-03:20 PM,UB10203
Sa,08:00 AM-09:20 AM,UB10204
Th,08:00 AM-09:20 AM,UB10204
Su,11:00 AM-12:20 PM,UB21002
Su,12:30 PM-01:50 PM,UB21002
Mo,02:00 PM-03:20 PM,UB21002
Mo,12:30 PM-01:50 PM,UB21002
We,09:30 AM-10:50 AM,UB21006
We,11:00 AM-12:20 PM,UB21006
Sa,03:30 PM-04:50 PM,UB10203
Th,03:30 PM-04:50 PM,UB10203
Sa,11:00 AM-12:20 PM,UB10203
Th,11:00 AM-12:20 PM,UB10203
Su,02:00 PM-03:20 PM,UB10204
Tu,02:00 PM-03:20 PM,UB10204
Mo,02:00 PM-03:20 PM,UB10204
We,02:00 PM-03:20 PM,UB10204
Mo,02:00 PM-03:20 PM,UB21006
Mo,03:30 PM-04:50 PM,UB21006
We,02:00 PM-03:20 PM,UB21006
We,03:30 PM-04:50 PM,UB21006
We,11:00 AM-12:20 PM,UB21002
We,12:30 PM-01:50 PM,UB21002
Su,09:30 AM-10:50 AM,UB21006
Su,11:00 AM-12:20 PM,UB21006
Su,02:00 PM-03:20 PM,UB21006
Su,12:30 PM-01:50 PM,UB21006
Tu,11:00 AM-12:20 PM,UB21006
Tu,12:30 PM-01:50 PM,UB21006
Mo,12:30 PM-01:50 PM,UB10305
We,12:30 PM-01:50 PM,UB10305
Sa,02:00 PM-03:20 PM,UB10203
Th,02:00 PM-03:20 PM,UB10203
Su,09:30 AM-10:50 AM,UB10203
Tu,09:30 AM-10:50 AM,UB10203
Mo,09:30 AM-10:50 AM,UB10204
We,09:30 AM-10:50 AM,UB10204
Mo,12:30 PM-01:50 PM,UB10203
We,12:30 PM-01:50 PM,UB10203
Su,09:30 AM-10:50 AM,UB10204
Tu,09:30 AM-10:50 AM,UB10204
Su,05:00 PM-06:20 PM,UB10203
Tu,05:00 PM-06:20 PM,UB10203
Mo,12:30 PM-01:50 PM,UB10204
We,12:30 PM-01:50 PM,UB10204
Sa,12:30 PM-01:50 PM,UB10203
Th,12:30 PM-01:50 PM,UB10203
Mo,11:00 AM-12:20 PM,UB10305
We,11:00 AM-12:20 PM,UB10305
Su,09:30 AM-10:50 AM,UB10305
Tu,09:30 AM-10:50 AM,UB10305
Mo,11:00 AM-12:20 PM,UB21006
Mo,12:30 PM-01:50 PM,UB21006
Tu,02:00 PM-03:20 PM,UB21006
Tu,03:30 PM-04:50 PM,UB21006
Th,11:00 AM-12:20 PM,UB21006
Th,12:30 PM-01:50 PM,UB21006
Fr,06:00 PM-09:00 PM,UB21511
Su,11:00 AM-12:20 PM,UB21901
Tu,11:00 AM-12:20 PM,UB21901
Mo,11:00 AM-12:20 PM,UB21901
We,11:00 AM-12:20 PM,UB21901
Su,02:00 PM-03:20 PM,UB10203
Tu,02:00 PM-03:20 PM,UB10203
Mo,03:30 PM-04:50 PM,UB10204
We,03:30 PM-04:50 PM,UB10204
Su,11:00 AM-12:20 PM,UB10204
Tu,11:00 AM-12:20 PM,UB10204
Sa,11:00 AM-12:20 PM,UB10204
Th,11:00 AM-12:20 PM,UB10204
Su,11:00 AM-12:20 PM,UB10305
Tu,11:00 AM-12:20 PM,UB10305
Su,03:30 PM-04:50 PM,UB10204
Tu,03:30 PM-04:50 PM,UB10204
Su,12:30 PM-01:50 PM,UB10203
Tu,12:30 PM-01:50 PM,UB10203
Mo,05:00 PM-06:20 PM,UB10203
We,05:00 PM-06:20 PM,UB10203
Fr,06:00 PM-09:00 PM,UB21511
Su,11:00 AM-12:20 PM,UB20803
Tu,11:00 AM-12:20 PM,UB20803
Su,09:30 AM-10:50 AM,UB20803
Tu,09:30 AM-10:50 AM,UB20803
Mo,05:00 PM-06:20 PM,UB20804
We,05:00 PM-06:20 PM,UB20804
Sa,11:00 AM-12:20 PM,UB20803
Th,11:00 AM-12:20 PM,UB20803
Mo,09:30 AM-10:50 AM,UB20702
We,09:30 AM-10:50 AM,UB20702
Mo,11:00 AM-12:20 PM,UB20702
We,11:00 AM-12:20 PM,UB20702
Sa,09:30 AM-10:50 AM,UB20803
Th,09:30 AM-10:50 AM,UB20803
Sa,05:00 PM-06:20 PM,UB20501
Th,05:00 PM-06:20 PM,UB20501
Mo,12:30 PM-01:50 PM,UB20802
